video_name,n_frames,k_frames,prompt_id
C9TWqHwLWcg_16-8-rgb_front,246,49,1
Ch6nqZwWgbw_3-5-rgb_front,105,21,5
aSbwWmqTOzc_0-8-rgb_front,225,49,3
1SMnc4uRVLo_1-5-rgb_front,162,49,8
1f6MTI3qidQ_25-8-rgb_front,86,21,1
11QBsM0-DF4_4-8-rgb_front,27,9,1
bSr7V1-5eUI_2-8-rgb_front,150,49,6
3xtnvxSmYFU_12-3-rgb_front,50,13,8
c8qCeBSlaOw_1-8-rgb_front,90,21,3
0v5btE6B2xQ_10-8-rgb_front,80,21,7
1cDoGd8wPfw_24-5-rgb_front,128,41,1
05pLyheXjeo_0-5-rgb_front,126,41,0
1TU3WpD2Oj0_24-5-rgb_front,589,49,3
1f-Aw3Mq894_2-8-rgb_front,258,49,0
EGuNTfFR99Y_6-8-rgb_front,171,49,7
1Zk7y3MjuU4_9-8-rgb_front,1358,49,3
FU_ELIq7e8E_10-4-rgb_front,165,49,7
aLhtVMR3SNw_3-5-rgb_front,97,21,2
EdJgTx0iFeE_42-5-rgb_front,43,13,6
bEAy71HZC9M_7-1-rgb_front,340,49,0
fyyg6UCc-nI_11-5-rgb_front,251,49,7
Dd6r7jX4VOQ_10-3-rgb_front,83,21,2
2b7oGpPlAuM_11-5-rgb_front,354,49,0
cmi0-jjwroA_1-5-rgb_front,105,21,1
FaTbGDrP9NI_25-8-rgb_front,40,13,4
Fc_C-H8LD3E_8-5-rgb_front,106,21,8
1B-uqjIDMKk_14-8-rgb_front,45,13,9
FadLsYNd2tk_1-5-rgb_front,171,49,6
3Aq_KJZR-2w_0-5-rgb_front,247,49,7
1jREUW8hcAY_11-8-rgb_front,314,49,8
1jVOx59INmU_3-11-rgb_front,198,49,0
EmmuWoCUgXs_2-8-rgb_front,130,41,8
FlXsdKWNhlM_7-8-rgb_front,88,21,2
aPlDljTG2Bo_14-1-rgb_front,81,21,6
1gDezSEPi_o_13-8-rgb_front,207,49,4
bL2Lb4XEQdQ_7-9-rgb_front,58,13,9
Fm8dQO2A6PY_3-5-rgb_front,93,21,3
163ylBUtKlI_0-8-rgb_front,327,49,1
-EAXGeHv9U4_9-8-rgb_front,149,49,2
beSlOio5zRI_4-8-rgb_front,156,49,1
1RgGCJ0hw6k_8-5-rgb_front,310,49,4
F1495o0hagE_6-8-rgb_front,157,49,6
CgyzNU5IMtQ_1-4-rgb_front,133,41,3
0KU13AH-7bQ_6-5-rgb_front,253,49,9
D9kXrUDRKu8_8-5-rgb_front,415,49,4
-8tIt1vEinQ_1-8-rgb_front,133,41,7
aHUC2fh-jfQ_23-8-rgb_front,55,13,6
0sal9F4RXeY_22-8-rgb_front,92,21,2
FkXTd89z44o_4-5-rgb_front,218,49,5
1UWz92TxRLA_0-5-rgb_front,239,49,4
17wK8JXEJvo_10-8-rgb_front,146,41,2
2-c2l2JnRBU_9-8-rgb_front,208,49,9
cmFd-YkgJ0w_19-9-rgb_front,78,21,2
FStKSCmBx00_5-4-rgb_front,137,41,6
1bjHvgrcZu4_1-8-rgb_front,194,49,4
52MbWpfvuF0_8-8-rgb_front,37,9,5
0wg18YtiA28_10-5-rgb_front,690,49,6
311BWiTLG-I_2-8-rgb_front,78,21,3
