video_name,n_frames,k_frames,prompt_id
5ok8y3eheq8_0-1-rgb_front,40,13,0
4K_FAmYAd2o_11-8-rgb_front,65,21,4
EDX0Bo4EnHc_3-8-rgb_front,149,49,1
2ioOCZFiWWU_15-5-rgb_front,371,49,3
-cv1gZaGtNk_7-5-rgb_front,88,21,4
1TsfCQyFt1A_14-5-rgb_front,284,49,8
0vHattAvsqk_0-8-rgb_front,90,21,2
1idQRo9LJr4_5-11-rgb_front,188,49,0
1KTyhaoXjBE_10-5-rgb_front,242,49,8
0tbwqARWKw8_22-4-rgb_front,156,49,4
2WTWOS8bF7A_7-3-rgb_front,76,21,9
Cu1rDgWOZ9w_11-8-rgb_front,142,41,3
18c67jsMBxE_3-8-rgb_front,287,49,1
F8eQI8E-6q4_3-5-rgb_front,240,49,5
e_S9g_NKlvY_6-8-rgb_front,35,9,3
09B_3NBFoM8_2-5-rgb_front,187,49,9
bLSpqPnZ15Y_13-1-rgb_front,135,41,8
16W1jnZzfi4_14-8-rgb_front,276,49,3
2_2WH7cFJLM_0-5-rgb_front,135,41,9
5qji7JFwR3M_6-8-rgb_front,47,13,1
1nGl_Zl6zvw_7-11-rgb_front,263,49,2
1AFO2Rfl9ow_4-8-rgb_front,57,13,2
1aRNY8wFqa0_34-8-rgb_front,162,49,6
5_w9QWHoI1E_9-8-rgb_front,199,49,0
1inaLz6I4pE_5-11-rgb_front,168,49,0
3GKsjSStbaE_3-8-rgb_front,99,21,0
beZVrUpjpwk_13-8-rgb_front,134,41,1
caSH1HZRhZA_11-5-rgb_front,422,49,4
FSEbzZjZg0A_10-5-rgb_front,231,49,4
0EjXICFqrKo_8-8-rgb_front,40,13,0
BsiR_MleDvc_0-5-rgb_front,532,49,7
aty4pljzC1I_16-4-rgb_front,84,21,6
157GUBMm-Yc_1-8-rgb_front,163,49,2
1bq4LWVsU-8_21-8-rgb_front,38,9,9
03xD5BhCG94_15-8-rgb_front,27,9,1
1D0eLAoIDEc_3-5-rgb_front,252,49,4
16_CbprlCb0_6-8-rgb_front,106,21,3
1fZfM65z0zk_5-8-rgb_front,76,21,0
0t4O9jMywAo_7-11-rgb_front,126,41,4
cZbKzFhPbsg_5-8-rgb_front,105,21,9
-fSI2e1pqkY_16-5-rgb_front,80,21,1
1W4YokNwUtY_11-5-rgb_front,206,49,3
07mFG9turoU_15-5-rgb_front,71,21,4
fqEO3MuTlEE_10-5-rgb_front,29,9,1
2uM9Vdo_uLQ_10-8-rgb_front,50,13,0
c2KLK-rr89U_4-8-rgb_front,46,13,3
aPlDljTG2Bo_19-1-rgb_front,115,21,8
311BWiTLG-I_0-8-rgb_front,49,13,9
0EW2ql96Ksc_7-8-rgb_front,217,49,7
chdVD0wH8HU_8-5-rgb_front,36,9,5
dh6-yhJ30pY_4-8-rgb_front,45,13,2
BPoz4-sxQZY_6-5-rgb_front,167,49,8
2JpUMNLreN4_8-5-rgb_front,91,21,7
dH0pIsPTIug_10-8-rgb_front,64,21,2
beVJrP2hs8o_15-4-rgb_front,53,13,0
