video_name,n_frames,k_frames,prompt_id
22January_2010_Friday_tagesschau-913,110,21,7
07December_2011_Wednesday_heute-7795,46,13,1
20October_2009_Tuesday_tagesschau-3589,78,21,2
23February_2010_Tuesday_heute-6247,149,41,3
23February_2010_Tuesday_heute-6243,37,9,6
15September_2010_Wednesday_heute-2484,101,21,4
10December_2009_Thursday_tagesschau-7491,80,21,5
03December_2011_Saturday_tagesschau-8672,125,21,3
05October_2011_Wednesday_heute-1080,193,41,3
10August_2010_Tuesday_heute-1441,47,13,5
05May_2011_Thursday_heute-3743,259,41,8
06September_2010_Monday_tagesschau-1150,119,21,9
08September_2010_Wednesday_tagesschau-5241,198,41,8
05March_2011_Saturday_tagesschau-5448,95,21,0
12August_2010_Thursday_tagesschau-4411,93,21,4
07October_2010_Thursday_heute-8560,62,13,8
05May_2011_Thursday_tagesschau-30,82,21,3
06March_2011_Sunday_tagesschau-3890,112,21,4
14December_2009_Monday_tagesschau-2086,91,21,3
23April_2010_Friday_tagesschau-3670,102,21,0
27February_2011_Sunday_tagesschau-6106,122,21,3
17May_2010_Monday_tagesschau-8469,215,41,8
31January_2011_Monday_tagesschau-677,104,21,2
12November_2009_Thursday_tagesschau-6778,52,13,1
21January_2011_Friday_tagesschau-4894,179,41,5
06October_2011_Thursday_heute-5536,113,21,1
22October_2010_Friday_tagesschau-2409,116,21,9
05May_2010_Wednesday_tagesschau-3357,137,41,2
25February_2011_Friday_tagesschau-569,105,21,8
18May_2010_Tuesday_heute-3367,245,41,9
14July_2010_Wednesday_heute-6182,59,13,4
02March_2011_Wednesday_tagesschau-4709,86,21,8
30December_2010_Thursday_tagesschau-2240,44,13,8
01November_2010_Monday_tagesschau-134,182,41,8
04July_2009_Saturday_tagesschau-3334,96,21,2
29November_2011_Tuesday_tagesschau-5618,142,41,6
04July_2010_Sunday_tagesschau-7202,80,21,9
28October_2010_Thursday_heute-326,138,41,8
05October_2011_Wednesday_heute-1074,167,41,7
04October_2012_Thursday_tagesschau-4918,86,21,6
14August_2011_Sunday_tagesschau-3231,67,21,5
25July_2010_Sunday_tagesschau-4784,190,41,5
06November_2010_Saturday_tagesschau-1163,153,41,1
04June_2010_Friday_tagesschau-1167,96,21,8
20January_2010_Wednesday_heute-812,235,41,5
24September_2009_Thursday_heute-6076,61,13,7
10February_2010_Wednesday_tagesschau-2518,113,21,7
22April_2010_Thursday_heute-2113,175,41,5
06May_2010_Thursday_heute-1052,138,41,0
08June_2010_Tuesday_heute-1995,139,41,2
02March_2011_Wednesday_tagesschau-4707,253,41,2
19January_2011_Wednesday_tagesschau-7076,113,21,6
12August_2009_Wednesday_tagesschau-1803,154,41,0
13October_2009_Tuesday_tagesschau-1660,49,13,7
27February_2011_Sunday_tagesschau-6114,117,21,8
27May_2011_Friday_tagesschau-8132,117,21,1
14April_2010_Wednesday_tagesschau-3818,170,41,1
15June_2010_Tuesday_tagesschau-77,80,21,6
03March_2011_Thursday_tagesschau-7056,40,9,1
10August_2010_Tuesday_tagesschau-3863,105,21,4
12January_2011_Wednesday_tagesschau-1734,75,21,7
13September_2010_Monday_heute-7168,133,41,6
09August_2010_Monday_heute-5887,44,13,0
21August_2011_Sunday_tagesschau-273,113,21,4
16July_2009_Thursday_tagesschau-5056,167,41,3
04December_2010_Saturday_tagesschau-4845,81,21,8
30April_2010_Friday_tagesschau-2017,85,21,4
02February_2011_Wednesday_tagesschau-7455,91,21,4
05July_2009_Sunday_tagesschau-4440,102,21,2
11May_2011_Wednesday_tagesschau-7024,60,13,7
02December_2009_Wednesday_tagesschau-4044,98,21,3
04December_2010_Saturday_tagesschau-4843,114,21,5
02October_2010_Saturday_tagesschau-1303,143,41,0
02December_2009_Wednesday_tagesschau-4052,44,13,0
09July_2011_Saturday_tagesschau-3293,63,13,0
26August_2010_Thursday_tagesschau-4276,145,41,8
26April_2010_Monday_heute-3389,50,13,0
09December_2010_Thursday_heute-7552,114,21,6
11May_2011_Wednesday_tagesschau-7016,42,13,6
11August_2011_Thursday_heute-3192,193,41,6
23January_2013_Wednesday_tagesschau-434,153,41,2
08December_2009_Tuesday_tagesschau-1933,102,21,6
30January_2011_Sunday_tagesschau-6349,217,41,9
20October_2009_Tuesday_tagesschau-3588,101,21,9
19January_2011_Wednesday_heute-2682,114,21,6
12April_2011_Tuesday_tagesschau-683,101,21,6
13July_2010_Tuesday_heute-4813,153,41,0
22February_2011_Tuesday_tagesschau-8399,115,21,5
30April_2010_Friday_tagesschau-2022,172,41,0
30November_2010_Tuesday_tagesschau-4624,198,41,3
24May_2010_Monday_tagesschau-3143,250,41,0
07February_2010_Sunday_tagesschau-498,124,21,3
13April_2010_Tuesday_tagesschau-2310,156,41,0
10August_2010_Tuesday_tagesschau-3862,80,21,5
04April_2010_Sunday_tagesschau-4565,110,21,8
27July_2010_Tuesday_heute-5268,125,21,1
03December_2011_Saturday_tagesschau-8676,53,13,6
14December_2009_Monday_tagesschau-2095,133,41,7
19January_2011_Wednesday_tagesschau-7079,180,41,7
10August_2010_Tuesday_tagesschau-3868,102,21,9
07October_2010_Thursday_heute-8563,66,21,6
19October_2010_Tuesday_heute-8050,161,41,3
01April_2010_Thursday_heute-6709,128,21,8
28April_2010_Wednesday_heute-5191,111,21,8
07June_2010_Monday_heute-2319,44,13,6
22April_2010_Thursday_tagesschau-3737,102,21,2
01October_2012_Monday_heute-445,160,41,6
09January_2010_Saturday_tagesschau-1929,121,21,8
06February_2011_Sunday_tagesschau-6911,199,41,7
05October_2011_Wednesday_heute-1075,77,21,9
08February_2010_Monday_tagesschau-2802,139,41,2
02September_2010_Thursday_heute-3454,167,41,9
02June_2010_Wednesday_tagesschau-7152,94,21,3
07June_2010_Monday_heute-2324,65,13,0
24June_2010_Thursday_tagesschau-7311,58,13,2
21May_2010_Friday_tagesschau-5088,125,21,8
16May_2010_Sunday_tagesschau-5231,141,41,9
04June_2010_Friday_tagesschau-1174,223,41,7
22February_2011_Tuesday_tagesschau-8400,192,41,9
07December_2010_Tuesday_heute-5624,139,41,4
20January_2011_Thursday_tagesschau-3079,100,21,5
05July_2010_Monday_heute-8692,65,13,7
01November_2010_Monday_tagesschau-143,129,41,0
03March_2011_Thursday_tagesschau-7058,48,13,0
12August_2009_Wednesday_tagesschau-1798,161,41,6
05August_2010_Thursday_tagesschau-4258,79,21,4
20November_2009_Friday_tagesschau-6570,129,41,9
23March_2011_Wednesday_tagesschau-8750,81,21,5
20October_2010_Wednesday_tagesschau-8213,85,21,3
19July_2009_Sunday_tagesschau-1570,193,41,6
04October_2010_Monday_heute-5955,128,21,0
15February_2011_Tuesday_heute-7909,108,21,9
04July_2011_Monday_tagesschau-700,65,13,3
12April_2010_Monday_heute-7695,95,21,9
05January_2011_Wednesday_tagesschau-2247,136,41,0
03August_2010_Tuesday_heute-7621,127,21,8
03March_2011_Thursday_tagesschau-7067,126,21,7
26August_2009_Wednesday_tagesschau-3222,49,13,5
05July_2011_Tuesday_tagesschau-6136,81,21,3
08July_2010_Thursday_tagesschau-5377,152,41,1
04July_2011_Monday_tagesschau-693,87,21,4
12January_2011_Wednesday_heute-6387,129,41,6
28October_2010_Thursday_heute-330,194,41,1
06August_2010_Friday_tagesschau-2180,143,41,5
17July_2009_Friday_tagesschau-5103,61,13,2
01June_2010_Tuesday_tagesschau-5011,90,21,2
07November_2010_Sunday_tagesschau-1978,96,21,6
24December_2010_Friday_tagesschau-5132,199,41,3
01February_2011_Tuesday_heute-4629,40,9,1
12September_2010_Sunday_tagesschau-3911,110,21,2
26January_2013_Saturday_tagesschau-7346,180,41,3
07October_2012_Sunday_tagesschau-3031,189,41,2
07December_2011_Wednesday_tagesschau-5397,142,41,4
28January_2013_Monday_tagesschau-3629,72,21,5
21October_2011_Friday_tagesschau-4110,94,21,3
20October_2009_Tuesday_tagesschau-3601,49,13,6
24January_2010_Sunday_tagesschau-8708,112,21,8
06August_2010_Friday_tagesschau-2176,137,41,5
13April_2010_Tuesday_tagesschau-2315,116,21,9
06August_2010_Friday_tagesschau-2184,124,21,0
07June_2010_Monday_tagesschau-1557,186,41,7
29March_2011_Tuesday_tagesschau-8120,117,21,6
06August_2010_Friday_tagesschau-2175,68,21,0
09February_2010_Tuesday_tagesschau-4498,169,41,4
20January_2011_Thursday_tagesschau-3078,165,41,3
18May_2010_Tuesday_heute-3361,45,13,2
18November_2009_Wednesday_tagesschau-5594,130,41,5
20November_2011_Sunday_tagesschau-547,144,41,8
12July_2011_Tuesday_heute-1273,187,41,1
23August_2010_Monday_heute-5318,117,21,2
02December_2011_Friday_tagesschau-8012,118,21,9
20December_2010_Monday_tagesschau-3206,89,21,2
06May_2011_Friday_tagesschau-6431,103,21,2
04October_2010_Monday_heute-5948,371,41,0
24August_2010_Tuesday_tagesschau-2194,92,21,6
17July_2009_Friday_tagesschau-5114,116,21,7
11January_2011_Tuesday_tagesschau-8029,124,21,3
21June_2011_Tuesday_tagesschau-1268,157,41,7
05April_2011_Tuesday_tagesschau-6427,84,21,1
08November_2010_Monday_heute-6880,234,41,5
17June_2010_Thursday_tagesschau-3906,91,21,5
30November_2011_Wednesday_tagesschau-6284,78,21,6
14June_2010_Monday_tagesschau-3702,58,13,4
24February_2011_Thursday_heute-6677,98,21,7
12September_2009_Saturday_tagesschau-6601,34,9,2
27August_2009_Thursday_tagesschau-3282,75,21,0
29August_2009_Saturday_tagesschau-5023,39,9,7
30October_2009_Friday_tagesschau-2268,150,41,3
23March_2011_Wednesday_tagesschau-8748,111,21,4
25March_2011_Friday_tagesschau-5829,85,21,7
17September_2010_Friday_tagesschau-3423,132,41,6
05May_2011_Thursday_heute-3739,45,13,3
23February_2011_Wednesday_tagesschau-158,123,21,4
22November_2009_Sunday_tagesschau-5487,50,13,8
23October_2010_Saturday_tagesschau-891,120,21,6
17May_2010_Monday_heute-5568,62,13,8
20November_2011_Sunday_tagesschau-542,119,21,0
22January_2011_Saturday_tagesschau-2083,99,21,1
09August_2011_Tuesday_heute-2642,204,41,5
29March_2011_Tuesday_tagesschau-8112,132,41,0
02June_2010_Wednesday_heute-6795,61,13,4
29December_2011_Thursday_tagesschau-2375,114,21,6
08April_2010_Thursday_tagesschau-3959,114,21,6
27October_2009_Tuesday_tagesschau-6150,128,21,0
25May_2010_Tuesday_tagesschau-1288,148,41,4
12May_2010_Wednesday_tagesschau-324,163,41,9
25November_2011_Friday_tagesschau-4397,138,41,5
08September_2010_Wednesday_tagesschau-5236,112,21,4
10April_2011_Sunday_tagesschau-1529,213,41,5
21May_2010_Friday_tagesschau-5098,142,41,8
25May_2010_Tuesday_heute-3758,77,21,6
06October_2011_Thursday_tagesschau-819,75,21,5
21August_2010_Saturday_tagesschau-8820,56,13,7
03December_2009_Thursday_tagesschau-7212,62,13,2
24August_2009_Monday_heute-6652,42,13,3
27April_2010_Tuesday_tagesschau-4509,74,21,3
16May_2010_Sunday_tagesschau-5230,88,21,3
18October_2009_Sunday_tagesschau-6682,89,21,2
20October_2010_Wednesday_heute-8498,150,41,6
31August_2010_Tuesday_heute-3174,30,9,0
30January_2013_Wednesday_tagesschau-468,152,41,1
06December_2011_Tuesday_heute-1541,111,21,5
29April_2010_Thursday_tagesschau-4880,43,13,3
26August_2009_Wednesday_heute-6550,87,21,0
12January_2011_Wednesday_heute-6391,84,21,5
17April_2010_Saturday_tagesschau-400,126,21,7
08July_2010_Thursday_tagesschau-5378,70,21,0
12September_2010_Sunday_tagesschau-3913,173,41,2
09July_2010_Friday_tagesschau-596,146,41,2
15February_2010_Monday_tagesschau-1849,50,13,4
11August_2011_Thursday_heute-3195,29,9,2
26April_2010_Monday_heute-3399,97,21,0
29September_2009_Tuesday_tagesschau-8533,69,21,8
05July_2010_Monday_heute-8686,32,9,7
20September_2010_Monday_tagesschau-7038,67,21,7
31August_2010_Tuesday_tagesschau-5167,92,21,9
04July_2009_Saturday_tagesschau-3344,124,21,9
09November_2010_Tuesday_tagesschau-753,82,21,3
28November_2011_Monday_tagesschau-159,108,21,1
06May_2010_Thursday_heute-1048,114,21,9
05October_2011_Wednesday_heute-1079,178,41,5
07June_2010_Monday_tagesschau-1563,147,41,4
18July_2010_Sunday_tagesschau-6224,142,41,2
07February_2011_Monday_heute-4668,117,21,1
05May_2011_Thursday_tagesschau-34,137,41,1
23February_2010_Tuesday_tagesschau-189,115,21,3
18October_2009_Sunday_tagesschau-6686,118,21,4
05December_2011_Monday_tagesschau-4168,103,21,7
03February_2011_Thursday_heute-618,123,21,2
21August_2011_Sunday_tagesschau-272,142,41,9
17May_2010_Monday_heute-5566,118,21,8
14September_2010_Tuesday_heute-8235,41,13,1
21June_2011_Tuesday_tagesschau-1269,206,41,8
28October_2010_Thursday_tagesschau-5924,157,41,1
23January_2011_Sunday_tagesschau-7828,73,21,1
12January_2010_Tuesday_heute-2548,48,13,7
08April_2010_Thursday_tagesschau-3954,126,21,4
19April_2011_Tuesday_heute-5336,274,41,7
01February_2011_Tuesday_tagesschau-4967,64,13,0
29November_2009_Sunday_tagesschau-7039,71,21,2
06June_2010_Sunday_tagesschau-6364,130,41,5
10August_2010_Tuesday_heute-1453,64,13,5
14September_2010_Tuesday_heute-8242,139,41,8
26February_2011_Saturday_tagesschau-3428,176,41,4
09November_2010_Tuesday_heute-5833,283,41,8
14July_2010_Wednesday_heute-6187,143,41,8
28December_2011_Wednesday_tagesschau-1908,221,41,7
30January_2011_Sunday_tagesschau-6348,100,21,3
06June_2010_Sunday_tagesschau-6370,91,21,2
24August_2010_Tuesday_tagesschau-2204,127,21,9
05May_2011_Thursday_tagesschau-33,123,21,5
09December_2009_Wednesday_tagesschau-2560,162,41,9
10August_2009_Monday_heute-6888,40,9,2
02February_2010_Tuesday_tagesschau-7950,143,41,5
09January_2010_Saturday_tagesschau-1920,194,41,2
14December_2009_Monday_tagesschau-2098,81,21,9
09December_2010_Thursday_heute-7549,145,41,8
29January_2013_Tuesday_tagesschau-878,89,21,2
06June_2010_Sunday_tagesschau-6367,102,21,1
06February_2010_Saturday_tagesschau-7368,157,41,6
11December_2010_Saturday_tagesschau-8658,153,41,8
10November_2009_Tuesday_tagesschau-7248,124,21,4
14February_2010_Sunday_tagesschau-3839,79,21,5
08April_2010_Thursday_heute-4003,94,21,5
02October_2010_Saturday_tagesschau-1312,56,13,0
23February_2010_Tuesday_heute-6253,89,21,8
