video_name,n_frames,k_frames,prompt_id
12April_2010_Monday_tagesschau-362,111,21,5
15July_2011_Friday_tagesschau-8728,76,21,5
11November_2009_Wednesday_tagesschau-8033,89,21,5
01July_2009_Wednesday_tagesschau-4557,56,13,6
19May_2010_Wednesday_heute-1118,130,41,6
12July_2009_Sunday_tagesschau-2569,120,21,6
26February_2011_Saturday_tagesschau-3425,121,21,1
30September_2009_Wednesday_tagesschau-1770,47,13,8
02October_2009_Friday_tagesschau-1353,101,21,2
08February_2010_Monday_tagesschau-2807,196,41,1
14September_2010_Tuesday_heute-8247,151,41,0
13November_2009_Friday_tagesschau-8612,130,41,4
25March_2011_Friday_tagesschau-5819,191,41,4
04May_2011_Wednesday_heute-3989,170,41,8
30January_2010_Saturday_tagesschau-1691,120,21,8
23July_2011_Saturday_tagesschau-5504,142,41,0
11April_2010_Sunday_tagesschau-8637,87,21,3
11December_2010_Saturday_tagesschau-8660,120,21,6
26October_2010_Tuesday_tagesschau-5795,31,9,0
25August_2009_Tuesday_heute-3302,143,41,8
28March_2011_Monday_tagesschau-2292,105,21,7
22February_2010_Monday_tagesschau-3244,104,21,1
24August_2009_Monday_heute-6637,71,21,0
05September_2010_Sunday_tagesschau-3135,100,21,5
23February_2011_Wednesday_heute-3765,38,9,5
20January_2011_Thursday_tagesschau-3080,158,41,4
16July_2009_Thursday_tagesschau-5050,87,21,0
21April_2010_Wednesday_heute-3121,44,13,6
13April_2011_Wednesday_tagesschau-1684,106,21,8
28August_2009_Friday_tagesschau-5871,73,21,2
10November_2010_Wednesday_tagesschau-6799,84,21,9
27April_2010_Tuesday_heute-1034,121,21,3
09March_2011_Wednesday_heute-1743,185,41,7
09December_2009_Wednesday_heute-4753,87,21,3
01June_2010_Tuesday_tagesschau-5007,192,41,6
05May_2010_Wednesday_tagesschau-3355,104,21,5
03April_2010_Saturday_tagesschau-2971,140,41,2
12December_2010_Sunday_tagesschau-5604,56,13,6
16June_2010_Wednesday_heute-8315,112,21,5
05May_2011_Thursday_heute-3749,160,41,7
